epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,581.529,1.49418,1.49009,1.18192,0.7955,0.59456,0.64666,0.36915,1.26651,1.04434,1.07533,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075
2,1006.39,1.46659,1.09565,1.1361,0.85,0.60881,0.67055,0.35522,1.44048,0.93204,1.11854,0.0199901,0.00666336,0.0199901,0.00666336,0.0199901,0.00666336,0.0199901,0.00666336
3,1387.29,1.50706,1.07073,1.16936,0.8063,0.62819,0.66317,0.31703,1.56225,0.94719,1.16616,0.0299792,0.00999307,0.0299792,0.00999307,0.0299792,0.00999307,0.0299792,0.00999307
4,1759.1,1.50378,1.0363,1.18388,0.83485,0.61855,0.67049,0.35864,1.45179,0.91304,1.14338,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,2130,1.45578,0.97536,1.16536,0.82277,0.6234,0.68641,0.35775,1.39744,0.80015,1.11913,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2504.01,1.43143,0.93003,1.14687,0.81222,0.65476,0.71941,0.39607,1.38599,0.7933,1.106,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2876.23,1.40899,0.90631,1.14247,0.87002,0.65941,0.74457,0.40321,1.39397,0.7611,1.10622,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,3270.01,1.39158,0.88393,1.13344,0.84126,0.66937,0.74307,0.41261,1.42934,0.74691,1.09562,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3676.81,1.37133,0.85472,1.11796,0.82484,0.69322,0.76374,0.42716,1.28748,0.71018,1.07418,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,4081.28,1.3581,0.83858,1.11723,0.83274,0.70411,0.76142,0.44525,1.2015,0.70202,1.06678,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,4476.45,1.34845,0.82877,1.11065,0.79989,0.68047,0.73872,0.42051,1.23076,0.68,1.0617,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
